method_id,method_type,method_label,stimulus_signature_sha256,domain,task,concept_id,concept,dimension,human_score,api_score,human_z,api_z,api_z_on_primary_mean_scale,risk_direction
ensemble::mean,ensemble,Nine-judge mean,046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,Biology,B,C13,自然选择,mq,3.75,2.6666666666666665,-0.03140084162153082,-1.7449482595526475,-1.7449482595526475,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,Biology,B,C13,自然选择,risk,3.75,3.3333333333333335,-0.917489367294673,-1.663723857220956,-1.663723857220956,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,Biology,B,C13,自然选择,tf,3.5,3.0,-1.4449764700478325,-1.901907154470305,-1.901907154470305,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,099e7ef838422bb93ce7bc34d0ee731ac8d5b7f2be2bf54e3f457a3cba164f82,Biology,C,C16,遗传信息与性状,cc,4.75,2.888888888888889,1.2767664890723485,0.05488991121113676,0.05488991121113676,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,099e7ef838422bb93ce7bc34d0ee731ac8d5b7f2be2bf54e3f457a3cba164f82,Biology,C,C16,遗传信息与性状,fa,5.0,4.222222222222222,1.138536525523738,0.2428437610176414,0.2428437610176414,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,099e7ef838422bb93ce7bc34d0ee731ac8d5b7f2be2bf54e3f457a3cba164f82,Biology,C,C16,遗传信息与性状,lc,4.5,4.777777777777778,0.6938256333459113,0.7424142350829634,0.7424142350829634,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,099e7ef838422bb93ce7bc34d0ee731ac8d5b7f2be2bf54e3f457a3cba164f82,Biology,C,C16,遗传信息与性状,mq,4.75,4.0,1.2837402898214085,0.27044433537004375,0.27044433537004375,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,099e7ef838422bb93ce7bc34d0ee731ac8d5b7f2be2bf54e3f457a3cba164f82,Biology,C,C16,遗传信息与性状,risk,4.5,4.444444444444445,0.4396832701993873,0.6422228002100344,0.6422228002100344,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,099e7ef838422bb93ce7bc34d0ee731ac8d5b7f2be2bf54e3f457a3cba164f82,Biology,C,C16,遗传信息与性状,tf,4.5,4.666666666666667,0.6044722285060657,0.7692063817302699,0.7692063817302699,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,09cbdcd2b0e080c92d4479ebc27116770c380cc4d7982c77aa13faf39d426758,Geoscience,A,C23,火山与板块边界,cc,4.5,2.888888888888889,0.811060679533664,0.05488991121113676,0.05488991121113676,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,09cbdcd2b0e080c92d4479ebc27116770c380cc4d7982c77aa13faf39d426758,Geoscience,A,C23,火山与板块边界,fa,5.0,3.888888888888889,1.138536525523738,-0.36491599975093575,-0.36491599975093575,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,09cbdcd2b0e080c92d4479ebc27116770c380cc4d7982c77aa13faf39d426758,Geoscience,A,C23,火山与板块边界,lc,4.25,4.555555555555555,0.16377858297864867,0.2029961133771064,0.2029961133771064,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,09cbdcd2b0e080c92d4479ebc27116770c380cc4d7982c77aa13faf39d426758,Geoscience,A,C23,火山与板块边界,mq,4.25,3.7777777777777777,0.6261697240999389,-0.06545443045040492,-0.06545443045040492,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,09cbdcd2b0e080c92d4479ebc27116770c380cc4d7982c77aa13faf39d426758,Geoscience,A,C23,火山与板块边界,risk,4.75,3.888888888888889,0.892074149364074,-0.5107505285054612,-0.5107505285054612,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,09cbdcd2b0e080c92d4479ebc27116770c380cc4d7982c77aa13faf39d426758,Geoscience,A,C23,火山与板块边界,tf,4.5,4.111111111111111,0.6044722285060657,-0.12116479700325603,-0.12116479700325603,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0a96ddc2b6a222f597d4bf56f615b4a2c2767d3b18ed52ca0ffe8f96dec0e75f,Geoscience,B,C24,地球内部结构,cc,4.75,2.6666666666666665,1.2767664890723485,-0.39744361636212344,-0.39744361636212344,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0a96ddc2b6a222f597d4bf56f615b4a2c2767d3b18ed52ca0ffe8f96dec0e75f,Geoscience,B,C24,地球内部结构,fa,4.75,4.111111111111111,0.6009781659926364,0.040257174094781537,0.040257174094781537,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0a96ddc2b6a222f597d4bf56f615b4a2c2767d3b18ed52ca0ffe8f96dec0e75f,Geoscience,B,C24,地球内部结构,lc,5.0,4.555555555555555,1.7539197340804367,0.2029961133771064,0.2029961133771064,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0a96ddc2b6a222f597d4bf56f615b4a2c2767d3b18ed52ca0ffe8f96dec0e75f,Geoscience,B,C24,地球内部结构,mq,4.75,4.333333333333333,1.2837402898214085,0.774292484100716,0.774292484100716,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0a96ddc2b6a222f597d4bf56f615b4a2c2767d3b18ed52ca0ffe8f96dec0e75f,Geoscience,B,C24,地球内部结构,risk,4.25,4.222222222222222,-0.012707608965299468,0.1810334687238362,0.1810334687238362,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0a96ddc2b6a222f597d4bf56f615b4a2c2767d3b18ed52ca0ffe8f96dec0e75f,Geoscience,B,C24,地球内部结构,tf,4.75,3.7777777777777777,1.1168344031445403,-0.6553875042433704,-0.6553875042433704,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0aa9f87cf5d7598754c2f54ff971c1ce1adbe711ad601065c6f1e2fba6b86278,Biology,C,C14,进化没有预设目标,cc,4.75,2.6666666666666665,1.2767664890723485,-0.39744361636212344,-0.39744361636212344,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0aa9f87cf5d7598754c2f54ff971c1ce1adbe711ad601065c6f1e2fba6b86278,Biology,C,C14,进化没有预设目标,fa,5.0,3.888888888888889,1.138536525523738,-0.36491599975093575,-0.36491599975093575,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0aa9f87cf5d7598754c2f54ff971c1ce1adbe711ad601065c6f1e2fba6b86278,Biology,C,C14,进化没有预设目标,lc,4.75,4.555555555555555,1.223872683713174,0.2029961133771064,0.2029961133771064,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0aa9f87cf5d7598754c2f54ff971c1ce1adbe711ad601065c6f1e2fba6b86278,Biology,C,C14,进化没有预设目标,mq,4.75,3.7777777777777777,1.2837402898214085,-0.06545443045040492,-0.06545443045040492,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0aa9f87cf5d7598754c2f54ff971c1ce1adbe711ad601065c6f1e2fba6b86278,Biology,C,C14,进化没有预设目标,risk,5.0,4.0,1.3444650285287607,-0.2801558627623621,-0.2801558627623621,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0aa9f87cf5d7598754c2f54ff971c1ce1adbe711ad601065c6f1e2fba6b86278,Biology,C,C14,进化没有预设目标,tf,4.5,4.444444444444445,0.6044722285060657,0.4130579102368598,0.4130579102368598,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0d895547a343b32f293926a2b491dd3ed3a270528cf0e3e2bf4044bd30cdb92c,Geoscience,C,C21,岩石循环,cc,4.75,2.111111111111111,1.2767664890723485,-1.528277435295273,-1.528277435295273,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0d895547a343b32f293926a2b491dd3ed3a270528cf0e3e2bf4044bd30cdb92c,Geoscience,C,C21,岩石循环,fa,4.75,3.111111111111111,0.6009781659926364,-1.7830221082109483,-1.7830221082109483,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0d895547a343b32f293926a2b491dd3ed3a270528cf0e3e2bf4044bd30cdb92c,Geoscience,C,C21,岩石循环,lc,5.0,4.0,1.7539197340804367,-1.1455491908875353,-1.1455491908875353,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0d895547a343b32f293926a2b491dd3ed3a270528cf0e3e2bf4044bd30cdb92c,Geoscience,C,C21,岩石循环,mq,5.0,3.2222222222222223,1.6125255726821432,-0.9052013450015259,-0.9052013450015259,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0d895547a343b32f293926a2b491dd3ed3a270528cf0e3e2bf4044bd30cdb92c,Geoscience,C,C21,岩石循环,risk,5.0,3.4444444444444446,1.3444650285287607,-1.4331291914778568,-1.4331291914778568,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0d895547a343b32f293926a2b491dd3ed3a270528cf0e3e2bf4044bd30cdb92c,Geoscience,C,C21,岩石循环,tf,5.0,3.888888888888889,1.6291965777830149,-0.4773132684966654,-0.4773132684966654,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0eab5047fd4bde1ae3194d3c4f3377a070ae5ce1fdaec654d47ca1821dfaf8d8,Geoscience,C,C21,岩石循环,cc,4.75,2.5555555555555554,1.2767664890723485,-0.6236103801487535,-0.6236103801487535,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0eab5047fd4bde1ae3194d3c4f3377a070ae5ce1fdaec654d47ca1821dfaf8d8,Geoscience,C,C21,岩石循环,fa,5.0,4.777777777777778,1.138536525523738,1.2557766956319358,1.2557766956319358,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0eab5047fd4bde1ae3194d3c4f3377a070ae5ce1fdaec654d47ca1821dfaf8d8,Geoscience,C,C21,岩石循环,lc,5.0,4.666666666666667,1.7539197340804367,0.472705174230036,0.472705174230036,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0eab5047fd4bde1ae3194d3c4f3377a070ae5ce1fdaec654d47ca1821dfaf8d8,Geoscience,C,C21,岩石循环,mq,5.0,2.5555555555555554,1.6125255726821432,-1.9128976424628719,-1.9128976424628719,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0eab5047fd4bde1ae3194d3c4f3377a070ae5ce1fdaec654d47ca1821dfaf8d8,Geoscience,C,C21,岩石循环,risk,4.75,4.555555555555555,0.892074149364074,0.8728174659531327,0.8728174659531327,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0eab5047fd4bde1ae3194d3c4f3377a070ae5ce1fdaec654d47ca1821dfaf8d8,Geoscience,C,C21,岩石循环,tf,5.0,4.333333333333333,1.6291965777830149,0.23498367449015406,0.23498367449015406,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,105d5ff55603c4e3809c8c7cdcaff275ef6ccfcbdabe51ca5ba8196c9d5396a5,Chemistry,C,C09,相变,cc,4.5,3.0,0.811060679533664,0.2810566749977669,0.2810566749977669,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,105d5ff55603c4e3809c8c7cdcaff275ef6ccfcbdabe51ca5ba8196c9d5396a5,Chemistry,C,C09,相变,fa,5.0,4.777777777777778,1.138536525523738,1.2557766956319358,1.2557766956319358,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,105d5ff55603c4e3809c8c7cdcaff275ef6ccfcbdabe51ca5ba8196c9d5396a5,Chemistry,C,C09,相变,lc,4.5,4.777777777777778,0.6938256333459113,0.7424142350829634,0.7424142350829634,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,105d5ff55603c4e3809c8c7cdcaff275ef6ccfcbdabe51ca5ba8196c9d5396a5,Chemistry,C,C09,相变,mq,2.5,3.7777777777777777,-1.675327255925205,-0.06545443045040492,-0.06545443045040492,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,105d5ff55603c4e3809c8c7cdcaff275ef6ccfcbdabe51ca5ba8196c9d5396a5,Chemistry,C,C09,相变,risk,5.0,4.666666666666667,1.3444650285287607,1.1034121316962326,1.1034121316962326,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,105d5ff55603c4e3809c8c7cdcaff275ef6ccfcbdabe51ca5ba8196c9d5396a5,Chemistry,C,C09,相变,tf,5.0,4.777777777777778,1.6291965777830149,0.9472806174769742,0.9472806174769742,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,10da205de02da79cf0d07948373046081d040a51dec771545c034156ce55324c,Geoscience,B,C22,地震成因,cc,4.75,2.888888888888889,1.2767664890723485,0.05488991121113676,0.05488991121113676,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,10da205de02da79cf0d07948373046081d040a51dec771545c034156ce55324c,Geoscience,B,C22,地震成因,fa,4.75,3.888888888888889,0.6009781659926364,-0.36491599975093575,-0.36491599975093575,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,10da205de02da79cf0d07948373046081d040a51dec771545c034156ce55324c,Geoscience,B,C22,地震成因,lc,4.5,4.777777777777778,0.6938256333459113,0.7424142350829634,0.7424142350829634,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,10da205de02da79cf0d07948373046081d040a51dec771545c034156ce55324c,Geoscience,B,C22,地震成因,mq,4.75,3.888888888888889,1.2837402898214085,0.10249495245981942,0.10249495245981942,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,10da205de02da79cf0d07948373046081d040a51dec771545c034156ce55324c,Geoscience,B,C22,地震成因,risk,4.5,4.111111111111111,0.4396832701993873,-0.04956119701926387,-0.04956119701926387,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,10da205de02da79cf0d07948373046081d040a51dec771545c034156ce55324c,Geoscience,B,C22,地震成因,tf,4.75,4.111111111111111,1.1168344031445403,-0.12116479700325603,-0.12116479700325603,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,11023034f2d05500723543f8d3b11375b133f377eef29e2d1a1332e86238eac3,Biology,A,C18,光合作用与细胞呼吸,cc,4.0,3.3333333333333335,-0.12035093954370472,0.9595569663576571,0.9595569663576571,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,11023034f2d05500723543f8d3b11375b133f377eef29e2d1a1332e86238eac3,Biology,A,C18,光合作用与细胞呼吸,fa,4.5,4.666666666666667,0.06341980646153468,1.0531901087090776,1.0531901087090776,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,11023034f2d05500723543f8d3b11375b133f377eef29e2d1a1332e86238eac3,Biology,A,C18,光合作用与细胞呼吸,lc,4.0,4.888888888888889,-0.36626846738861396,1.012123295935893,1.012123295935893,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,11023034f2d05500723543f8d3b11375b133f377eef29e2d1a1332e86238eac3,Biology,A,C18,光合作用与细胞呼吸,mq,3.25,4.444444444444445,-0.6889714073430004,0.9422418670109411,0.9422418670109411,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,11023034f2d05500723543f8d3b11375b133f377eef29e2d1a1332e86238eac3,Biology,A,C18,光合作用与细胞呼吸,risk,3.75,4.666666666666667,-0.917489367294673,1.1034121316962326,1.1034121316962326,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,11023034f2d05500723543f8d3b11375b133f377eef29e2d1a1332e86238eac3,Biology,A,C18,光合作用与细胞呼吸,tf,4.25,4.555555555555555,0.09211005386759116,0.5911321459835641,0.5911321459835641,quality_aligned_high_is_good; aligned risk = 6 - raw risk
