scope,dimension_code,dimension,n_items,n_judges,n_domains,n_domain_concepts,bootstrap_reps_requested,alpha_interval,alpha_interval_ci_low,alpha_interval_ci_high,alpha_interval_bootstrap_valid,icc_a1,icc_a1_ci_low,icc_a1_ci_high,icc_a1_bootstrap_valid,icc_ak,icc_ak_ci_low,icc_ak_ci_high,icc_ak_bootstrap_valid,kendall_w,kendall_w_ci_low,kendall_w_ci_high,kendall_w_bootstrap_valid
final_first_human_covered,fa,事实准确性,180,9,5,30,5000,0.26542325355471164,0.20098216988782444,0.32409201340289157,5000,0.2798945227388851,0.21925781838551917,0.33560450538988273,5000,0.7776873244697149,0.7165125446635683,0.8196946928335742,5000,0.40969429910523963,0.3587087204725634,0.45971822395816375,5000
final_first_human_covered,cc,概念完整性,180,9,5,30,5000,0.23738197885174872,0.18518597564498288,0.2860432471209823,5000,0.2640991118879258,0.2163104121038639,0.30952843972568667,5000,0.7635882267433575,0.7129850249571286,0.8013733114298542,5000,0.46491236776203193,0.4168412601326329,0.5101964385832646,5000
final_first_human_covered,lc,语言清晰度,180,9,5,30,5000,0.1685047858641573,0.10912761006446238,0.22230074633367333,5000,0.20380077641285116,0.15009371477091582,0.2529698402897654,5000,0.6973094040890359,0.6138105669478214,0.7529465038342229,5000,0.4120227055348819,0.3558468605439127,0.4657472118527883,5000
final_first_human_covered,tf,任务符合度,180,9,5,30,5000,0.2825807595161076,0.2261521110797903,0.3337011658060978,5000,0.30230527691074804,0.2486851646022088,0.3510837300051853,5000,0.7959027302057574,0.7486805360186197,0.8296212857760502,5000,0.480976925947749,0.43724321293155444,0.5215519785991245,5000
final_first_human_covered,mq,误解处理质量,180,9,5,30,5000,0.2668385227306317,0.20724595143717517,0.32076734083795627,5000,0.2849509678102758,0.2283500236181085,0.33664179230040187,5000,0.7819711720620187,0.7270235157846003,0.8203806988079707,5000,0.46810027067424725,0.41374251025005726,0.5223393688547341,5000
final_first_human_covered,risk,误导风险,180,9,5,30,5000,0.1940793136332739,0.13630419441643785,0.24433331133307173,5000,0.22190930957502528,0.1689980487523566,0.26869829234341897,5000,0.719634689474693,0.6466804988561916,0.767810236286864,5000,0.39499604038885444,0.3415307440927729,0.44448886859347736,5000
selected30,fa,事实准确性,30,9,5,21,5000,0.41835695248833993,0.21050698929067566,0.593842150161631,5000,0.4346896930141219,0.23569500294970055,0.6057634997069465,5000,0.8737447030823706,0.7351276733471086,0.9325642792516902,5000,0.5453612912958213,0.3987903268848942,0.6873872326535748,5000
selected30,cc,概念完整性,30,9,5,21,5000,0.3514141175078398,0.20438248684072297,0.4737047317112771,5000,0.37902722585306564,0.24077432551081462,0.495842124423613,5000,0.8459972144619919,0.7405416237697299,0.8984931372979844,5000,0.5895387778109353,0.4441787696184929,0.7151288945064131,5000
selected30,lc,语言清晰度,30,9,5,21,5000,0.19407113867830605,0.09930044393328219,0.28888852797316855,5000,0.22899855601800742,0.14411542352055742,0.31712524718410184,5000,0.7277526168981135,0.6024546878043562,0.806934020024598,5000,0.4426922844541115,0.3455665867015405,0.5428723828299145,5000
selected30,tf,任务符合度,30,9,5,21,5000,0.3156454909307672,0.17760787184520302,0.43110984189594237,5000,0.33960601224363407,0.20913193405705394,0.4509346814143316,5000,0.8223241923389967,0.7041333132803809,0.880831685769822,5000,0.547516339869281,0.4257258340595525,0.6556640766978913,5000
selected30,mq,误解处理质量,30,9,5,21,5000,0.35656969554739193,0.20395808631353657,0.49016327256816383,5000,0.37649588251997884,0.2304146127945091,0.5065788002441793,5000,0.8445889240538327,0.7293353408628287,0.9023436955296529,5000,0.5559699470535171,0.4506609412021851,0.6645809723704553,5000
selected30,risk,误导风险,30,9,5,21,5000,0.33165719859231046,0.17657658879929705,0.46475238317793344,5000,0.35809065288868014,0.21349041815245673,0.4850911052552132,5000,0.8339055663587749,0.7095524939347242,0.8945016386703277,5000,0.5475717946575305,0.4340733412927076,0.670726899653309,5000
