item_id,source_stimulus_id,source_item_uid,api_item_id,replicate_index,runner_order,domain,concept_id,task_type,generator,text_sha256,content_json_sha256
ri_54048173a9a69900118d,RST050,KIMI_B_C17,API810_587,2,14,Biology,C17,B,Moonshot Kimi,80c9a2f7e4c84980cf5c8f510f3df84191bfa9871b7f9344a3c32365b9964344,1fabe2df88f535a9cd8e0f96617961e864e9bc4e9ffa1e7e8ca51d794a1892e4
ri_2f90bc2315f80cb94a9e,RST027,Gemini_C_C09,API810_429,1,15,Chemistry,C09,C,Google Gemini,947466ef77fa70f18705746a5452b541edb728a768bfaf4f7000675af8fba471,1933e75b42e5a5b42c25db44b4aa54552b5d481b74c4d91a3044b2b02c80235b
ri_f84728d0fc47f13799ec,RST007,KIMI_A_C03,API810_543,3,16,Physics,C03,A,Moonshot Kimi,5f871bb77eee690b892ae96edfcaaf973b7d4e22d6160f73c1603bae61d3e399,7c777bb863b45058d51a9c04a27f0dcf12c846dcccf7bf08ac68445639f810e3
ri_3408ed56407d0fe2db38,RST062,DEEPSEEK_B_C21,API810_321,3,17,Geoscience,C21,B,DeepSeek,1b087407f952d2e2d6527f4db5ef6b80274e666f99bfd12ec4b41976018fff0b,738fae3474500a9943d5279437108e916777ba991f80cff40508fbead9a6d5ab
ri_d74543b73fa5c1291425,RST006,豆包_C_C02,API810_242,3,18,Physics,C02,C,ByteDance Doubao,d124841961e8a0ea1c7a92127397cce8021e79d4597ef253648df0566f49ef22,ab6ea011c4452b2a83f76a78a28aee79c20079d39aaf4b90e8dd3cf875c242e3
ri_74c4ea628ba527dfcd17,RST023,mimo_B_C08,API810_488,3,19,Chemistry,C08,B,Mimo,a3faaf6c215bfc670c495f735bf9f13c20c9a2a1f2928d851d92ba026fc5e207,d25e9ca5c651ab66a596346e4f38262359746210c3a52665d505ea4a16791d2c
ri_b1450c76b85cfaf7d3a1,RST085,千问_A_C29,API810_029,1,20,Climate/Environment,C29,A,Alibaba Qwen,20337cc711fc466f189cb9665056280eb3f219e0e9ead8ec3fa8c804c65f0f27,e05f72645bbb63bd650b86fab171b54657f2418950757425420afe7d00eb86b1
ri_cfd23c6f8d79e8e6aa2b,RST015,DEEPSEEK_C_C05,API810_335,1,21,Physics,C05,C,DeepSeek,9044fac57bd0abef87bebc420917210df3098681d600260b7a0e9561914dbfb6,febebf947f2516c1ed8c4f7ca29743afc549e8a98b46ebd5e94a749bbc829968
ri_d64f00a7aa977ceb53d9,RST088,GPT_A_C30,API810_660,3,22,Climate/Environment,C30,A,OpenAI GPT,7d55b7238f7397d3e7f2804e8a347b137448efcb426cccd5c1a37bfc88bd65b1,d13127f70ae9e4ab6ada6a71c00b472c6359d3ff1b367b1dcd8dad4f17372787
ri_6c1b1abe7ccbe95ba58c,RST061,GLM_A_C21,API810_741,2,23,Geoscience,C21,A,Zhipu GLM,4880ec97be032be78601146cd6ddd6bc0068ee4c815d77438834fcddbac61a9e,e44ffa36b91b0663305c1db46dbba2161e2435e6f605ecc024a5649e584adf01
ri_cddf9401ef0de588c528,RST002,千问_B_C01,API810_031,1,24,Physics,C01,B,Alibaba Qwen,31765d9b255c92e038cc94997ee75354f0ae89eb461f81e208ee993995da9688,39ce96adf41a530d3b98ba8510abcb59ec17547ac33d8f777e4327debf871a69
ri_70d14669df20187ea5d8,RST033,KIMI_C_C11,API810_611,2,25,Chemistry,C11,C,Moonshot Kimi,659a9b10212e3bd92272b70477058c5c8554b0e9e4ca50d97c865b6d5557caba,d90cbd7bbf48dda24639d5825bdf718f46073376a546a21a04e9a0bdf5364e24
ri_8d60f5e997f685ac5c50,RST089,千问_B_C30,API810_060,2,26,Climate/Environment,C30,B,Alibaba Qwen,4fe91f09c6a026a94fdab6c4cd86ce78911ce59fb4fa58d70d884928a0889abd,4ba34ab248229c82c4d62ff3bd0fb3be2d7eaf8fabee58ba85987f4617c092bc
ri_2d3a8f452e48d6012185,RST064,KIMI_A_C22,API810_562,2,27,Geoscience,C22,A,Moonshot Kimi,5707f85cb07a754f7ef4b8f362e343b1faf96c9414a026ce9b668053933998fa,51221a4a86edfd7b29464d61ad3e25dcdb329056b4b2d0febe80f04aedcf9452
ri_c962f7ad42fb1b555c4d,RST066,豆包_C_C22,API810_262,1,28,Geoscience,C22,C,ByteDance Doubao,2b09f068d9636bf91de1271e577e576d894fc338a29f071031196a9d9f3a0f6a,a190c985f69cf0e9170c6652c1182f7d75303d472cd7d84f82b2f8c1bced78dd
ri_5d044e89e278993bb952,RST025,mimo_A_C09,API810_459,1,29,Chemistry,C09,A,Mimo,093714065313b43911ef4b8383e0681169b3604f73166358229eefd0f41379b3,a633caa99d1d52af36e3bf1e8012b002b34562fcdfcd4064987f2be070d6aff5
ri_c5bc8425bfead0efbc52,RST079,mimo_A_C27,API810_477,1,30,Climate/Environment,C27,A,Mimo,3e0f36edc5ca9eaabd1415ca796e2f2eee59e779f3514dd533b6aac83ce2ac99,be9f36da9ad0e548467f89a9bc206587ce2744d565c47307cbce5ddba50f07e7
ri_66398c10b7c0fb8a0671,RST086,DEEPSEEK_B_C29,API810_329,2,31,Climate/Environment,C29,B,DeepSeek,b10cc419edfdde63da0a0169c0b1d882f69b71aacb1b321fc5b32ddff6637c8f,ca56065905e9b85ca9d3b592af76f73120da4b0d3648fa5225b5bce4299fc979
ri_427a60422550f0ea8403,RST042,mimo_C_C14,API810_524,2,32,Biology,C14,C,Mimo,ba06d060edd70de1e7657a51fc75d85b0bbd3215db68bed8441aabaed5bdd066,0d5bc76183480610ac23249201eb28b5c97c2417ec292ccbe7063ae14dd8ed19
ri_a963f040f282db5aa5af,RST009,GLM_C_C03,API810_783,1,33,Physics,C03,C,Zhipu GLM,ed47a35ac71911643855ca2c511a3ebea90df168e84b3c2dab870343d4831ebf,4bfd93aa77f778a5cf84320e73458ea2e50521f9e734bee33574123af75b43ec
ri_f4a15b40373179d6aa1c,RST030,GLM_C_C10,API810_790,3,34,Chemistry,C10,C,Zhipu GLM,eca4c28d15d811d4560b6c74adcd2bdd12c97b8bb414790c2e813e980b8d5ba5,3b211decad3557526d067d3d5a680a96ef54e0efd6c36b0b63760aa3fde5f214
ri_ac72b4302ca379cdc971,RST047,mimo_B_C16,API810_496,2,35,Biology,C16,B,Mimo,55d480bedd9204d57c8b96566728d329f313a7e8d7eb72c68a64f1f45f7889d2,01fd5a7bd82942c4f034f1b3066102a01f6cf5f2d5c2e7195e9b0fa416104147
ri_775f18565e58a1f1f444,RST073,豆包_A_C25,API810_205,1,36,Climate/Environment,C25,A,ByteDance Doubao,20d548cb4cad8c36d573f7f6e09ca72db671a5211c26102fe2443f02ee48b702,65adb8141656ba8c85f171310cc01fd98221332b5ba8a89cffa3c1a62774a051
ri_d8f5d2e690b3762c2960,RST057,千问_C_C19,API810_079,1,37,Geoscience,C19,C,Alibaba Qwen,b6087f69835176a8caf0f9b1b1672b8b411c49da95d51b2851cce3c987a993b8,d888cfeeb0124d28b11532dde305122182a40223ef2f0da2654cd0716e359a5c
ri_ce90cf5a33701f6b5433,RST077,Gemini_B_C26,API810_416,3,38,Climate/Environment,C26,B,Google Gemini,01851605062f0bc2b5dbde36ecffc0e4448983788938f4f55aa3548a39440f09,9070479f710132d096f8beef1f5c273c9970be3413f22e560d4f1cdae3c4bee0
ri_65948e20b0563983fb54,RST029,GPT_B_C10,API810_670,2,39,Chemistry,C10,B,OpenAI GPT,1027f183d78976026e49c8eb074a0d14e7ef1ebf3c543de46c07a260f7f41d75,1dde2fa826a25373c6ea686a87dd1499d030af760916f7ffd0784c67371dbcdd
ri_2e937922f389c31a2390,RST011,豆包_B_C04,API810_214,3,40,Physics,C04,B,ByteDance Doubao,03f6f8557c71c01b5f7aebb33e51ce0bfb9b38d881f3391a43247bbf9e2782ff,b4b4d5db5f42c060fae343f4d06a7f407c8abb2a2324e388862d45512dd5131c
ri_33a112b16858f57c2e0b,RST075,GPT_C_C25,API810_715,2,41,Climate/Environment,C25,C,OpenAI GPT,41c092f76a7eb9e4c7608f4978918f989004ce5032ab6614bf3ebbaa8bba9ac1,7987e4c28740fd7ae3d25ef04701d77c810087b657e7ad2b3144d7ebe1da4a39
ri_dfb51f70baaf1f492fbf,RST025,mimo_A_C09,API810_459,3,42,Chemistry,C09,A,Mimo,093714065313b43911ef4b8383e0681169b3604f73166358229eefd0f41379b3,a633caa99d1d52af36e3bf1e8012b002b34562fcdfcd4064987f2be070d6aff5
ri_1ccfbd12722b50838fe5,RST015,DEEPSEEK_C_C05,API810_335,2,43,Physics,C05,C,DeepSeek,9044fac57bd0abef87bebc420917210df3098681d600260b7a0e9561914dbfb6,febebf947f2516c1ed8c4f7ca29743afc549e8a98b46ebd5e94a749bbc829968
ri_1f05d5f19f9c75667665,RST074,KIMI_B_C25,API810_595,3,44,Climate/Environment,C25,B,Moonshot Kimi,15234426580200d04c25c1702713e1e34448ebd60d49990f4bd62822c418dd79,d1913cf25940b5b652a29fb2d421d91fa69250ec5d4b80195e7b9a3bb41a282f
ri_62262e3e65ed8cf89c67,RST051,claude_C_C17,API810_167,2,45,Biology,C17,C,Anthropic Claude,d20feba413d3e7dc66139db4e253ad72ee5a65d4151494683b757cdfd3dfd18e,1d074063a17d5f6a8988757d3f3210d8e7bcb30f94e4f3d1eb802f96e2be1fd7
ri_1b8c3e0034d5b329e9f2,RST036,千问_C_C12,API810_072,2,46,Chemistry,C12,C,Alibaba Qwen,43606521bdb443204ee497b6ce32447cbc69eb55fc5639f474baaa0a1b7e65a0,fca8ce5af4ebe7bfafbe9d2f406c5afb6c1d8a98b807185f56ca5539bf60586d
ri_42f49ea5678cd904fa0e,RST066,豆包_C_C22,API810_262,3,47,Geoscience,C22,C,ByteDance Doubao,2b09f068d9636bf91de1271e577e576d894fc338a29f071031196a9d9f3a0f6a,a190c985f69cf0e9170c6652c1182f7d75303d472cd7d84f82b2f8c1bced78dd
ri_5c81dfddd3f935ca14c1,RST049,千问_A_C17,API810_017,3,48,Biology,C17,A,Alibaba Qwen,39fe4da99291449bdd382d343f97d6feaaf702bc87cf3fd591553717a9c67864,5fac6fb9b2f9582996e987b1c919a65ddf856a7ddab07e46053d91a45bdb0fc7
ri_60582b8fc296f39d5f04,RST089,千问_B_C30,API810_060,1,49,Climate/Environment,C30,B,Alibaba Qwen,4fe91f09c6a026a94fdab6c4cd86ce78911ce59fb4fa58d70d884928a0889abd,4ba34ab248229c82c4d62ff3bd0fb3be2d7eaf8fabee58ba85987f4617c092bc
ri_8fbbcc9f2517715272ca,RST086,DEEPSEEK_B_C29,API810_329,3,50,Climate/Environment,C29,B,DeepSeek,b10cc419edfdde63da0a0169c0b1d882f69b71aacb1b321fc5b32ddff6637c8f,ca56065905e9b85ca9d3b592af76f73120da4b0d3648fa5225b5bce4299fc979
ri_5f8c7f95723513900e5d,RST073,豆包_A_C25,API810_205,3,51,Climate/Environment,C25,A,ByteDance Doubao,20d548cb4cad8c36d573f7f6e09ca72db671a5211c26102fe2443f02ee48b702,65adb8141656ba8c85f171310cc01fd98221332b5ba8a89cffa3c1a62774a051
ri_37998b2e8819e95835a1,RST019,GPT_A_C07,API810_637,1,52,Chemistry,C07,A,OpenAI GPT,6898a68d48681ce6605cdf5b981f9dbcff715a4510b92e7a7cb29440dfeb9d35,b28673f87fd5bb929379ecaf4e4b000ccbe29e82a13c08a2ca811647ec0f637d
ri_2ac41a84070ca78b12c5,RST081,KIMI_C_C27,API810_627,1,53,Climate/Environment,C27,C,Moonshot Kimi,c9d545b872014e38881f5567cf6acc93d43135a865802cdfa9010d093ecc5b71,c79630f0e642fe0938a20d4acf521e0ce5e4677e01399af0b59b3e00bbca020a
ri_afd45b47495218dbcd97,RST045,GPT_C_C15,API810_705,1,54,Biology,C15,C,OpenAI GPT,6ef8207c991c15230122a69608d1656fb18bcced2ef6f93b96b95385c55ab32f,b7e96876f4f524c79622311eb8a9edde8ef9bfec751981d759a2cef478a1a350
ri_387d5492237e13ae049f,RST064,KIMI_A_C22,API810_562,1,55,Geoscience,C22,A,Moonshot Kimi,5707f85cb07a754f7ef4b8f362e343b1faf96c9414a026ce9b668053933998fa,51221a4a86edfd7b29464d61ad3e25dcdb329056b4b2d0febe80f04aedcf9452
ri_fdbf2e471bdabfd803c5,RST081,KIMI_C_C27,API810_627,3,56,Climate/Environment,C27,C,Moonshot Kimi,c9d545b872014e38881f5567cf6acc93d43135a865802cdfa9010d093ecc5b71,c79630f0e642fe0938a20d4acf521e0ce5e4677e01399af0b59b3e00bbca020a
ri_953aaab476b04796b185,RST039,豆包_C_C13,API810_253,1,57,Biology,C13,C,ByteDance Doubao,7dc55295521da2a33b9281e796dcfe03155a638c8f2a2fb040620163a21f569e,d5ed6cafc0cf6a7d9652a2de046342b1e61e1e66365710b09bcbc115ffae6684
ri_65f9752998663b5172fa,RST080,GLM_B_C27,API810_777,3,58,Climate/Environment,C27,B,Zhipu GLM,7310b381779e0307f8abbe390c7df5587e7f2c03c4e4a45050236db2042a5f08,0e21e87b00db3c8a0f0f1a86bc33ad985ec3db2c486698e3e34b479238bd6a60
ri_c59986ce0c2be0c9c64d,RST041,Gemini_B_C14,API810_404,2,59,Biology,C14,B,Google Gemini,0d92876dc103d9911eb32a474953ee10c41bf854346ec7c34ec27c03b3268be9,c7208fc39cd4709cfcf7e799208a85bef06bdadbaa5bcf3f286b6aae41e8d5b0
ri_a17435dc62c31c479684,RST070,Gemini_A_C24,API810_384,1,60,Geoscience,C24,A,Google Gemini,8ccdeb0292b43afc7ca80e32aca4c58cc2c3f629bd49e92466fb2119f2dfc6b5,d0bcc16e9d0815219d3b6f7c05b841e88bd03c5d1b4c2ec672630833b6e6c87a
ri_ed13db91f40ef82d463d,RST007,KIMI_A_C03,API810_543,2,61,Physics,C03,A,Moonshot Kimi,5f871bb77eee690b892ae96edfcaaf973b7d4e22d6160f73c1603bae61d3e399,7c777bb863b45058d51a9c04a27f0dcf12c846dcccf7bf08ac68445639f810e3
ri_6947e1a45e3bd0452555,RST052,DEEPSEEK_A_C18,API810_288,2,62,Biology,C18,A,DeepSeek,01c30716c720981a73f6979f26f363c5cd39a9782cc9e1294c13b35f1529a5d2,e547c9faedcff8f17dd3fda7ead01cfa2d72e7a9102208bc89ca9b518a7e39e2
ri_fd084a385e945593f6d6,RST014,GLM_B_C05,API810_755,1,63,Physics,C05,B,Zhipu GLM,13d58e3747fde025211d3e9db810ee3e00dedc8ee741d656b44577755c2f203a,649833e15c6211bfc3672c2d2d23b69aabcc4b0d4e36f3314919e6607d09107f
ri_7dd26b8311f5150f4018,RST063,claude_C_C21,API810_171,3,64,Geoscience,C21,C,Anthropic Claude,1923d4ff3ea4d64c144d8f2208f0bcc794e0fe840bd3074a0f6c6e730d91503e,02413a5e636a6a74aa9cdd2e291e60f9edd2aceed0f12adac5dba8cb94481583
ri_9211813bc0901927d1be,RST048,千问_C_C16,API810_076,2,65,Biology,C16,C,Alibaba Qwen,d714091faefc0354b9b5013d9838479adabccca67d71e42c578252b0e8f856f6,092a1ccfdf719bb2185a725d8a93f0176bec217e9f58847cf6bb9ad6406bec9a
ri_2d774a417044c1433402,RST024,豆包_C_C08,API810_248,2,66,Chemistry,C08,C,ByteDance Doubao,8cbbefde1431a2fa9f07a88eb519f91770eaff2063d66c9a3b6aa3288fd8e026,d03a35904f51092a41bd622e4b808d0240d89d3c5f69fb506445ff3259ebd7f3
ri_3580038a1a961d2d806f,RST047,mimo_B_C16,API810_496,1,67,Biology,C16,B,Mimo,55d480bedd9204d57c8b96566728d329f313a7e8d7eb72c68a64f1f45f7889d2,01fd5a7bd82942c4f034f1b3066102a01f6cf5f2d5c2e7195e9b0fa416104147
ri_be4f15000edf904b23eb,RST008,mimo_B_C03,API810_483,3,68,Physics,C03,B,Mimo,47228c2c6a790f8784c94d4e4a718a57d28049aef2529e265e92e73dbd91abec,b39a06281289fffe075e9f2742c452d67a19046c0121ce2c601ecde54be018f8
ri_e728a8c62a9ba42491b3,RST023,mimo_B_C08,API810_488,2,69,Chemistry,C08,B,Mimo,a3faaf6c215bfc670c495f735bf9f13c20c9a2a1f2928d851d92ba026fc5e207,d25e9ca5c651ab66a596346e4f38262359746210c3a52665d505ea4a16791d2c
ri_2cbf4a120e6dfdfa786b,RST082,claude_A_C28,API810_118,1,70,Climate/Environment,C28,A,Anthropic Claude,8ad2380daf446db580b38e1df6f31ca33648907f9f22fcbcf27948e98ca7d9b7,d436bc749cfbb37626b40253cc8599a0f5d795fc7989df71178482ccff8fd6db
ri_bf1d16c0db094998ec15,RST060,mimo_C_C20,API810_530,1,71,Geoscience,C20,C,Mimo,91350d948fb1c171b11dc4e35f5a146abd4750d2ebcdc865b99e2a00420f4ffd,6747197bd68671854cc1fcade53493a29802469df65c9be370b2346a0e0406e0
ri_61f0c6f5fd076ee8e729,RST089,千问_B_C30,API810_060,3,72,Climate/Environment,C30,B,Alibaba Qwen,4fe91f09c6a026a94fdab6c4cd86ce78911ce59fb4fa58d70d884928a0889abd,4ba34ab248229c82c4d62ff3bd0fb3be2d7eaf8fabee58ba85987f4617c092bc
ri_3bc0310f28f5f63dec61,RST007,KIMI_A_C03,API810_543,1,73,Physics,C03,A,Moonshot Kimi,5f871bb77eee690b892ae96edfcaaf973b7d4e22d6160f73c1603bae61d3e399,7c777bb863b45058d51a9c04a27f0dcf12c846dcccf7bf08ac68445639f810e3
ri_122c898136e2e52049ba,RST026,GLM_B_C09,API810_759,3,74,Chemistry,C09,B,Zhipu GLM,1eee74c8a0695f9b04cd78956608d3b50d3b82529c2ab29ea8d65b9b6f3f8ba8,c0f3f014c18ff8143b99f0e3546f7d963a374c366d37329500f85e12c6821a60
ri_241b19bbf17736cdf12a,RST067,豆包_A_C23,API810_203,1,75,Geoscience,C23,A,ByteDance Doubao,c151b464e6673fa391aea1567879682924697fbda729725b2d42e62b234418ef,dad9bd792dbefb592913deaeb651369edc9dd576a3b658f165e5b5e8c3a2d5e2
ri_fb250bacb43b39b5f794,RST062,DEEPSEEK_B_C21,API810_321,2,76,Geoscience,C21,B,DeepSeek,1b087407f952d2e2d6527f4db5ef6b80274e666f99bfd12ec4b41976018fff0b,738fae3474500a9943d5279437108e916777ba991f80cff40508fbead9a6d5ab
ri_49711bfc2fb3b2c288ee,RST011,豆包_B_C04,API810_214,2,77,Physics,C04,B,ByteDance Doubao,03f6f8557c71c01b5f7aebb33e51ce0bfb9b38d881f3391a43247bbf9e2782ff,b4b4d5db5f42c060fae343f4d06a7f407c8abb2a2324e388862d45512dd5131c
ri_fc996c8a4fec0f260e9a,RST045,GPT_C_C15,API810_705,2,78,Biology,C15,C,OpenAI GPT,6ef8207c991c15230122a69608d1656fb18bcced2ef6f93b96b95385c55ab32f,b7e96876f4f524c79622311eb8a9edde8ef9bfec751981d759a2cef478a1a350
ri_6954a66dc0ed88a57723,RST009,GLM_C_C03,API810_783,3,79,Physics,C03,C,Zhipu GLM,ed47a35ac71911643855ca2c511a3ebea90df168e84b3c2dab870343d4831ebf,4bfd93aa77f778a5cf84320e73458ea2e50521f9e734bee33574123af75b43ec
ri_58394ab9a4f0a0e44dcf,RST020,千问_B_C07,API810_037,1,80,Chemistry,C07,B,Alibaba Qwen,5903ec1ccc227959a4e43721a03894c2cf9cc600e251bfd6f067708232499f7d,b76b3426ae3c956f37d43afc6f0f7a7cdefa9d4b76c23849c6636f9b23f4008e
ri_f1cd8090684f30a26139,RST074,KIMI_B_C25,API810_595,1,81,Climate/Environment,C25,B,Moonshot Kimi,15234426580200d04c25c1702713e1e34448ebd60d49990f4bd62822c418dd79,d1913cf25940b5b652a29fb2d421d91fa69250ec5d4b80195e7b9a3bb41a282f
ri_fd74141c69ef6dba30a8,RST021,DEEPSEEK_C_C07,API810_337,1,82,Chemistry,C07,C,DeepSeek,3be892392b50203fd556268ea2954439843c1a2b1edb06402ffa5434fbba3318,c99edd79e9e559d234384406a6871bc52a0a7c0d79935c3e217809cc0f0cec01
ri_118e50666269e5d5b8c1,RST075,GPT_C_C25,API810_715,1,83,Climate/Environment,C25,C,OpenAI GPT,41c092f76a7eb9e4c7608f4978918f989004ce5032ab6614bf3ebbaa8bba9ac1,7987e4c28740fd7ae3d25ef04701d77c810087b657e7ad2b3144d7ebe1da4a39
ri_5a1495fe068d178c2dad,RST078,claude_C_C26,API810_176,2,84,Climate/Environment,C26,C,Anthropic Claude,901603b2b083bf58bea869f4c14b09d8be1b40cd1975b5ada8dc971e195dd417,6994374611f228fc94a99c17481180a980590f3d53025fe2dcaa0bcd202bbaec
ri_f52d7fb38af17d044737,RST090,Gemini_C_C30,API810_450,3,85,Climate/Environment,C30,C,Google Gemini,0649d03d091bcd8ed3e7142434a8b4da318f3ef9b91c94a1a1252e63560f7497,b491e406d8f99101de7ed3952f4a39b8f38f87e67a1e8c8805aa30620757e810
ri_3b335a24755a1e78ea64,RST006,豆包_C_C02,API810_242,1,86,Physics,C02,C,ByteDance Doubao,d124841961e8a0ea1c7a92127397cce8021e79d4597ef253648df0566f49ef22,ab6ea011c4452b2a83f76a78a28aee79c20079d39aaf4b90e8dd3cf875c242e3
ri_dad46986c01c0162362b,RST054,GLM_C_C18,API810_798,3,87,Biology,C18,C,Zhipu GLM,2b649c43837a157985ca2638a3f2c87f5f99cb2f0b1b1da4a76e4f0f87a2cae2,1238e5ae61aed34ed3a7eac4fa2574a6b08f3466d07cada167c4e97cb2a12684
ri_ac3dc9dfe864632eec7a,RST034,KIMI_A_C12,API810_552,2,88,Chemistry,C12,A,Moonshot Kimi,69b8f8b0974775a4f2db6b42dec88448fa05b944f441efa8a4adf052eace748e,f4376ea964d7ba6cf260518029cc03542921efd6dfb1f9e806db3e43db012bcc
ri_ba8bf491a6747dcbaa19,RST027,Gemini_C_C09,API810_429,2,89,Chemistry,C09,C,Google Gemini,947466ef77fa70f18705746a5452b541edb728a768bfaf4f7000675af8fba471,1933e75b42e5a5b42c25db44b4aa54552b5d481b74c4d91a3044b2b02c80235b
ri_8aeff3be993b4b6c3cb1,RST001,mimo_A_C01,API810_451,1,90,Physics,C01,A,Mimo,3ee9179dcb531f2cd86e5ea3485178bd97426d2e62adc1246e72e1e5c217ac12,786c85e253bcbaadeee279011f9ca7763463161fcec72c01cf030da08d69cdac
ri_3cfd09b9683566b00ec9,RST056,claude_B_C19,API810_139,1,91,Geoscience,C19,B,Anthropic Claude,7d074389d2bfdb96bb422d6fb247b68f4a010218452ac70a95f85e3c64223dbc,4342e866611715aa14bc044366df4a556bc3c040994b8a6e891e109b20206ca9
ri_e846a0d6ba1babd604f4,RST030,GLM_C_C10,API810_790,1,92,Chemistry,C10,C,Zhipu GLM,eca4c28d15d811d4560b6c74adcd2bdd12c97b8bb414790c2e813e980b8d5ba5,3b211decad3557526d067d3d5a680a96ef54e0efd6c36b0b63760aa3fde5f214
ri_2832068357a788cabeb3,RST029,GPT_B_C10,API810_670,1,93,Chemistry,C10,B,OpenAI GPT,1027f183d78976026e49c8eb074a0d14e7ef1ebf3c543de46c07a260f7f41d75,1dde2fa826a25373c6ea686a87dd1499d030af760916f7ffd0784c67371dbcdd
ri_f9d6b34d45506a09210e,RST039,豆包_C_C13,API810_253,2,94,Biology,C13,C,ByteDance Doubao,7dc55295521da2a33b9281e796dcfe03155a638c8f2a2fb040620163a21f569e,d5ed6cafc0cf6a7d9652a2de046342b1e61e1e66365710b09bcbc115ffae6684
ri_60443640a29bcff8690c,RST019,GPT_A_C07,API810_637,2,95,Chemistry,C07,A,OpenAI GPT,6898a68d48681ce6605cdf5b981f9dbcff715a4510b92e7a7cb29440dfeb9d35,b28673f87fd5bb929379ecaf4e4b000ccbe29e82a13c08a2ca811647ec0f637d
