aggregation,dimension,n_complete_stimuli,all_three_exact_agreement,mean_within_item_sd,median_within_item_sd,mean_within_item_mad_from_item_mean,mean_pairwise_exact_agreement,mean_pairwise_within_one_category,mean_absolute_pairwise_difference,mean_pairwise_rmse,mean_pairwise_spearman,min_pairwise_spearman,mean_pairwise_lin_ccc,min_pairwise_lin_ccc,mean_pairwise_quadratic_weighted_kappa,icc_a1_absolute_single_measure,icc_stimulus_bootstrap_ci_low,icc_stimulus_bootstrap_ci_high,icc_stimulus_bootstrap_valid_draws,icc_concept_cluster_bootstrap_ci_low,icc_concept_cluster_bootstrap_ci_high,icc_concept_cluster_bootstrap_valid_draws,status,expected_judges_per_stimulus_replicate
trimmed_one_each_tail,lc,90,0.15555555555555556,0.1199959519276849,0.08247860988423247,0.08888888888888892,0.34814814814814815,1.0,0.1470899470899471,0.2093484768891062,0.8532744919818884,0.827597621828142,0.8976784146026677,0.8841075186179532,,0.8985132995814981,0.8476543156514282,0.93068124691307,2000,0.8612376429818255,0.9212851954075523,2000,complete_fixed_panel,9
no_self_mean,lc,90,0.14444444444444443,0.12562922565012447,0.125,0.09382716049382717,0.32962962962962966,1.0,0.15370370370370368,0.21934903116221657,0.8531967204071114,0.8301936725604174,0.8818666061026179,0.8604654203652227,,0.8829135337754265,0.8269700756262245,0.918341335456045,2000,0.8397185946028253,0.9092247718381907,2000,complete_fixed_panel,8
mean,tf,90,0.08888888888888889,0.1415090833603997,0.11111111111111116,0.10370370370370374,0.23703703703703705,1.0,0.17695473251028812,0.24082201288185914,0.9136940819005787,0.9077494946443461,0.9381102994246251,0.9349273832290552,,0.9387418420912861,0.912313552656033,0.9557629884928316,2000,0.9163648768985384,0.9541317894345739,2000,complete_fixed_panel,9
median,tf,90,0.7444444444444445,0.15224117691301967,0.0,0.11604938271604938,0.825925925925926,0.9962962962962963,0.17777777777777778,0.43028800290537905,0.883028949407405,0.8657516944740122,0.8565128819536313,0.8502651641603768,,0.8580451703457956,0.7977338015598824,0.9032852889825457,2000,0.7980560949534818,0.9036103129787739,2000,complete_fixed_panel,9
trimmed_one_each_tail,tf,90,0.17777777777777778,0.14516673806149963,0.1428571428571428,0.1068783068783069,0.32962962962962966,1.0,0.1798941798941799,0.2510499006698948,0.9162529995670198,0.9102705461627401,0.9426811141374749,0.9402801898591012,,0.9433115823817291,0.918910820839053,0.9581904754939687,2000,0.9209067800419075,0.9576614839621116,2000,complete_fixed_panel,9
no_self_mean,tf,90,0.1111111111111111,0.15533550124127304,0.125,0.11481481481481481,0.26296296296296295,1.0,0.1935185185185185,0.27049051333803714,0.9014734370440044,0.8933785790810881,0.9246682076286444,0.9178178833859236,,0.925373588339309,0.8911200018063272,0.947704611942826,2000,0.8977392468029843,0.9438054164634362,2000,complete_fixed_panel,8
mean,mq,90,0.05555555555555555,0.1577413561282406,0.1283000598199169,0.11604938271604939,0.2111111111111111,1.0,0.19670781893004116,0.25392352307773325,0.920107445477865,0.9128814678841507,0.9387566719941903,0.9304148517253368,,0.9393124510797273,0.9121118250391316,0.9563548925893551,2000,0.9081019598858485,0.9572657821092659,2000,complete_fixed_panel,9
median,mq,90,0.6888888888888889,0.17962008374788357,0.0,0.1382716049382716,0.7925925925925926,1.0,0.2074074074074074,0.4519748487545696,0.8572994024634535,0.8169956676576919,0.8664611197625122,0.8307769447994185,,0.8669656203288492,0.8022069457727911,0.9157973334270684,2000,0.798095344879879,0.9183055521918506,2000,complete_fixed_panel,9
trimmed_one_each_tail,mq,90,0.06666666666666667,0.17232243201971703,0.16495721976846442,0.12698412698412698,0.23703703703703702,1.0,0.21375661375661373,0.27668536538686705,0.9227043801981566,0.9114380122929846,0.9389443721316054,0.9321174049509126,,0.9394723331622005,0.9111817052428645,0.956671284936441,2000,0.9096778391923687,0.9574193772602515,2000,complete_fixed_panel,9
no_self_mean,mq,90,0.044444444444444446,0.1678196497018607,0.14433756729740646,0.12314814814814815,0.1851851851851852,1.0,0.21018518518518517,0.26681023006534005,0.9136215023527935,0.8973566559917189,0.9343436845997372,0.9205046763275535,,0.9349087507505311,0.9042872472332246,0.9532096369482828,2000,0.90715031747215,0.9523880836297953,2000,complete_fixed_panel,8
mean,risk,90,0.1,0.11943467498230019,0.11111111111111116,0.08806584362139917,0.27037037037037037,1.0,0.14814814814814814,0.19829766991991596,0.9162983798147756,0.8928284561569113,0.9310854646378303,0.923611096557318,,0.9317047202597994,0.8987174704238019,0.9525220270672474,2000,0.895265069987341,0.9541929765437729,2000,complete_fixed_panel,9
median,risk,90,0.8,0.11547005383792516,0.0,0.08888888888888889,0.8666666666666667,1.0,0.13333333333333333,0.3651483716701107,0.8399108097759913,0.835259243526541,0.8546264518086609,0.8496240601503752,,0.8561034761519807,0.7802576269676554,0.914110550543396,2000,0.7652709529609651,0.9248567845780389,2000,complete_fixed_panel,9
trimmed_one_each_tail,risk,90,0.1,0.14022808099954748,0.1428571428571428,0.10299823633156964,0.26666666666666666,1.0,0.17460317460317457,0.23216781359746563,0.9059849883337914,0.8821066904545005,0.9216520619597142,0.9075502364224846,,0.9221971139563538,0.88789981557017,0.9451717342750441,2000,0.8858931809122165,0.9461451963350862,2000,complete_fixed_panel,9
no_self_mean,risk,90,0.12222222222222222,0.13004795334593533,0.125,0.0962962962962963,0.2962962962962963,1.0,0.16018518518518518,0.21855375769141014,0.9056560382515135,0.8799283177136218,0.9158658564927366,0.9050466219505262,,0.9164190655499912,0.8772467217838935,0.9400760309447701,2000,0.876176838182701,0.9435145630456163,2000,complete_fixed_panel,8
