aggregation,dimension,n_complete_stimuli,all_three_exact_agreement,mean_within_item_sd,median_within_item_sd,mean_within_item_mad_from_item_mean,mean_pairwise_exact_agreement,mean_pairwise_within_one_category,mean_absolute_pairwise_difference,mean_pairwise_rmse,mean_pairwise_spearman,min_pairwise_spearman,mean_pairwise_lin_ccc,min_pairwise_lin_ccc,mean_pairwise_quadratic_weighted_kappa,icc_a1_absolute_single_measure,icc_stimulus_bootstrap_ci_low,icc_stimulus_bootstrap_ci_high,icc_stimulus_bootstrap_valid_draws,icc_concept_cluster_bootstrap_ci_low,icc_concept_cluster_bootstrap_ci_high,icc_concept_cluster_bootstrap_valid_draws,status,expected_judges_per_stimulus_replicate
trimmed_one_each_tail,tf,90,0.1777777777777777,0.1451667380614996,0.1428571428571428,0.1068783068783069,0.3296296296296296,1.0,0.1798941798941799,0.2510499006698948,0.9162529995670198,0.91027054616274,0.9426811141374748,0.9402801898591012,,0.9433115823817292,0.918910820839053,0.9581904754939689,2000,0.9209067800419076,0.9576614839621116,2000,complete_fixed_panel,9
no_self_mean,tf,90,0.1111111111111111,0.155335501241273,0.125,0.1148148148148148,0.2629629629629629,1.0,0.1935185185185185,0.2704905133380371,0.9014734370440044,0.8933785790810881,0.9246682076286444,0.9178178833859236,,0.925373588339309,0.8911200018063272,0.947704611942826,2000,0.8977392468029843,0.9438054164634362,2000,complete_fixed_panel,8
mean,mq,90,0.0555555555555555,0.1577413561282406,0.1283000598199169,0.1160493827160493,0.2111111111111111,1.0,0.1967078189300411,0.2539235230777332,0.920107445477865,0.9128814678841508,0.9387566719941904,0.9304148517253368,,0.9393124510797272,0.9121118250391316,0.9563548925893552,2000,0.9081019598858484,0.957265782109266,2000,complete_fixed_panel,9
median,mq,90,0.6888888888888889,0.1796200837478835,0.0,0.1382716049382716,0.7925925925925926,1.0,0.2074074074074074,0.4519748487545696,0.8572994024634535,0.8169956676576919,0.8664611197625122,0.8307769447994185,,0.8669656203288492,0.8022069457727911,0.9157973334270684,2000,0.798095344879879,0.9183055521918506,2000,complete_fixed_panel,9
trimmed_one_each_tail,mq,90,0.0666666666666666,0.172322432019717,0.1649572197684644,0.1269841269841269,0.237037037037037,1.0,0.2137566137566137,0.276685365386867,0.9227043801981566,0.9114380122929846,0.9389443721316054,0.9321174049509126,,0.9394723331622004,0.9111817052428643,0.956671284936441,2000,0.9096778391923688,0.9574193772602516,2000,complete_fixed_panel,9
no_self_mean,mq,90,0.0444444444444444,0.1678196497018607,0.1443375672974064,0.1231481481481481,0.1851851851851852,1.0,0.2101851851851851,0.26681023006534,0.9136215023527936,0.8973566559917189,0.9343436845997372,0.9205046763275536,,0.9349087507505311,0.9042872472332246,0.9532096369482828,2000,0.90715031747215,0.9523880836297952,2000,complete_fixed_panel,8
mean,risk,90,0.1,0.1194346749823001,0.1111111111111111,0.0880658436213991,0.2703703703703703,1.0,0.1481481481481481,0.1982976699199159,0.9162983798147756,0.8928284561569113,0.9310854646378304,0.923611096557318,,0.9317047202597994,0.8987174704238019,0.9525220270672474,2000,0.895265069987341,0.9541929765437728,2000,complete_fixed_panel,9
median,risk,90,0.8,0.1154700538379251,0.0,0.0888888888888888,0.8666666666666667,1.0,0.1333333333333333,0.3651483716701107,0.8399108097759913,0.835259243526541,0.8546264518086609,0.8496240601503752,,0.8561034761519807,0.7802576269676554,0.914110550543396,2000,0.7652709529609651,0.9248567845780388,2000,complete_fixed_panel,9
trimmed_one_each_tail,risk,90,0.1,0.1402280809995474,0.1428571428571428,0.1029982363315696,0.2666666666666666,1.0,0.1746031746031745,0.2321678135974656,0.9059849883337914,0.8821066904545005,0.9216520619597142,0.9075502364224846,,0.9221971139563538,0.88789981557017,0.945171734275044,2000,0.8858931809122165,0.9461451963350862,2000,complete_fixed_panel,9
no_self_mean,risk,90,0.1222222222222222,0.1300479533459353,0.125,0.0962962962962963,0.2962962962962963,1.0,0.1601851851851851,0.2185537576914101,0.9056560382515136,0.8799283177136218,0.9158658564927366,0.9050466219505262,,0.9164190655499912,0.8772467217838935,0.94007603094477,2000,0.876176838182701,0.9435145630456164,2000,complete_fixed_panel,8
